DATE,Entero,Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,Solarhours,BeachName,BeachType,BeachDirection,Entero_level,Wspeed_level,Wdirection_level,on_offshore
1998-01-20,10.0,0.0,0.0,0.0,0.0,189,2.8,5.3,Milford,0,2,0,1,8,0
1998-01-20,10.0,0.49,0.49,0.49,1.47,170,2.6,5.3,Weymouth,1,10,0,1,8,1
1998-01-30,17.0,0.0,0.0,0.0,0.0,4,1.6,6.4,Narrow_Neck,0,1,0,1,0,1
1998-01-30,20.0,4.03,4.03,6.33,14.39,4,1.6,6.4,Judges_Bay,1,1,0,1,0,1
1998-01-30,17.0,3.0,3.0,3.0,9.0,4,1.6,6.4,Milford,0,2,0,1,0,1
1998-01-30,10.0,0.0,0.0,0.98,0.98,360,4.1,6.4,Weymouth,1,10,0,1,0,0
1998-01-30,10.0,2.0,2.0,7.67,11.67,360,4.1,6.4,Clarks,1,15,0,1,0,1
1998-01-31,10.0,0.49,0.49,0.49,1.47,320,2.6,10.0,Weymouth,1,10,0,1,14,2
1998-01-31,11.0,0.0,0.0,0.0,0.0,290,3.0,10.0,Narrow_Neck,0,1,0,1,13,2
1998-01-31,10.0,0.0,3.0,3.0,6.0,290,3.0,10.0,Milford,0,2,0,1,13,2
1998-01-31,10.0,0.0,4.03,4.03,8.06,290,3.0,10.0,Judges_Bay,1,1,0,1,13,2
1998-01-31,10.0,4.0,6.0,6.0,16.0,320,2.6,10.0,Clarks,1,15,0,1,14,1
1998-02-04,10.0,0.0,0.0,0.0,0.0,40,2.6,12.1,Clarks,1,15,0,1,2,2
1998-02-04,10.0,0.0,0.0,0.0,0.0,37,2.4,12.1,Judges_Bay,1,1,0,1,2,1
1998-02-04,10.0,0.0,0.0,0.0,0.0,37,2.4,12.1,Narrow_Neck,0,1,0,1,2,1
1998-02-04,10.0,0.0,0.0,0.0,0.0,40,2.6,12.1,Weymouth,1,10,0,1,2,0
1998-02-04,10.0,0.0,0.0,0.0,0.0,37,2.4,12.1,Milford,0,2,0,1,2,1
1998-02-11,10.0,0.0,0.0,2.45,2.45,10,2.6,0.0,Weymouth,1,10,0,1,0,0
1998-02-11,10.0,6.24,6.24,6.76,19.24,113,1.3,0.0,Milford,0,2,0,1,5,2
1998-02-11,10.0,2.41,2.5,11.39,16.3,113,1.3,0.0,Judges_Bay,1,1,0,1,5,2
1998-02-11,10.0,2.2,12.399999999999999,12.399999999999999,27.0,113,1.3,0.0,Narrow_Neck,0,1,0,1,5,2
1998-02-11,10.0,7.67,9.67,10.17,27.509999999999998,10,2.6,0.0,Clarks,1,15,0,1,0,1
1998-02-13,90.0,2.03,3.4099999999999997,5.82,11.26,72,2.9,1.8,Judges_Bay,1,1,0,1,3,1
1998-02-13,10.0,0.67,12.34,20.009999999999998,33.02,50,2.6,1.8,Clarks,1,15,0,1,2,2
1998-02-13,10.0,0.53,0.53,0.53,1.59,50,2.6,1.8,Weymouth,1,10,0,1,2,0
1998-02-13,40.0,1.04,1.04,7.28,9.36,72,2.9,1.8,Milford,0,2,0,1,3,1
1998-02-13,10.0,0.8,1.4,3.6,5.800000000000001,72,2.9,1.8,Narrow_Neck,0,1,0,1,3,1
1998-02-15,10.0,0.0,0.0,0.8,0.8,270,2.1,10.5,Narrow_Neck,0,1,0,1,12,2
1998-02-15,10.0,0.0,0.0,0.67,0.67,240,1.0,10.5,Clarks,1,15,0,1,11,2
1998-02-15,10.0,0.0,0.0,1.04,1.04,270,2.1,10.5,Milford,0,2,0,1,12,0
1998-02-15,19.0,0.0,0.0,0.53,0.53,240,1.0,10.5,Weymouth,1,10,0,1,11,1
1998-02-15,10.0,0.0,0.0,2.03,2.03,270,2.1,10.5,Judges_Bay,1,1,0,1,12,2
1998-02-17,19.0,0.0,0.53,0.53,1.06,360,3.6,9.1,Weymouth,1,10,0,1,0,0
1998-02-17,10.0,0.0,0.0,0.0,0.0,25,2.1,9.1,Milford,0,2,0,1,1,1
1998-02-17,10.0,0.0,0.0,0.0,0.0,25,2.1,9.1,Judges_Bay,1,1,0,1,1,1
1998-02-17,16.0,2.83,3.0,3.0,8.83,360,3.6,9.1,Clarks,1,15,0,1,0,1
1998-02-17,10.0,0.0,0.0,0.0,0.0,25,2.1,9.1,Narrow_Neck,0,1,0,1,1,1
1998-02-21,66.0,31.26,32.85,36.56,100.67,250,4.1,0.4,Weymouth,1,10,0,1,11,1
